date,data,cols
1,,channel1
2,"Media Advisory: Canadian Heritage Colorado Goldfields Updates Shareholders on 2009 Drilling Program, Shareholder Conference Call, Acquisitions, and CFO Compensation",channel1
3,,channel1
4,Enerflex Reports Second Quarter 2009 Financial Results and Announces Third Quarter 2009 Distributions,channel1
5,"Peyto Energy Trust Announces Second Quarter 2009 Results Black Diamond Income Fund Reports Results for the Second Quarter Ended June 30, 2009 New PR Secrets for Pitching Business Desks: New Bulldog Reporter Conference Reveals How to Work With Top Business Reporters in the New Economy CORRECTION FROM SOURCE: Enerflex Reports Second Quarter 2009 Financial Results and Announces Third Quarter 2009 Distributions",channel1
6,,channel1
7,,channel1
8,,channel1
9,,channel1
10,,channel1
11,,channel1
12,,channel1
13,,channel1
14,,channel1
15,,channel1
16,,channel1
17,,channel1
18,,channel1
19,,channel1
20,,channel1
21,,channel1
22,,channel1
23,,channel1
24,,channel1
25,,channel1
26,,channel1
27,,channel1
28,,channel1
29,,channel1
30,,channel1
31,,channel1
32,,channel1
33,,channel1
34,,channel1
35,,channel1
36,,channel1
37,,channel1
38,,channel1
39,,channel1
40,,channel1
41,,channel1
42,,channel1
43,,channel1
44,,channel1
45,,channel1
46,,channel1
47,,channel1
48,,channel1
49,,channel1
50,,channel1
51,,channel1
52,,channel1
53,,channel1
54,,channel1
55,,channel1
56,,channel1
57,,channel1
58,,channel1
59,,channel1
60,"House Health Care Bill Will Tax Wealthy (ANPI, BSX, MDT, STJ)",channel1
61,,channel1
62,,channel1
63,,channel1
64,,channel1
65,Medtronic upgraded to Outperform at Credit Suisse,channel1
66,,channel1
67,,channel1
68,,channel1
69,,channel1
70,,channel1
71,,channel1
72,"Bernstein Neutral On Medtronic With Slowing ICD Market (MDT, STJ, BSX)",channel1
73,,channel1
74,Medtronic Receives FDA Warning Letter,channel1
75,,channel1
76,,channel1
77,An ETF Play For Medtronic's Earnings (IHI),channel1
78,"Medtronic Beats, Raises EPS Guidance New 52-Week High Stocks (MDT, ADI, DLTR, DTV, MYL) BenzingaÃ¢ÂÂs News Update (WIN, SIG, MDT, AEO, DLTR, BGP, C) Company News for November 24, 2009 - Corporate Summary BenzingaÃ¢ÂÂs Earnings Roundup (WMG, VIP, HNZ, DSW, MDT) Benzinga's Earnings Preview (HRL, HNZ, TIVO, WMG, MDT, DLTR, JCG)",channel1
79,"Stock Market News for November 25, 2009 - Market News",channel1
80,,channel1
81,,channel1
82,Medtronic: Solid Outlook In CRM,channel1
83,,channel1
84,,channel1
85,,channel1
86,,channel1
87,,channel1
88,,channel1
89,,channel1
90,,channel1
91,,channel1
92,,channel1
93,,channel1
94,,channel1
95,,channel1
96,,channel1
97,,channel1
98,,channel1
99,,channel1
100,MDTÃ¢ÂÂs Fidelis May Lead to Tightened FDA Process,channel1
101,Analyst Reiterates Ã¢ÂÂHoldÃ¢ÂÂ on Medtronic (MDT),channel1
102,,channel1
103,,channel1
104,,channel1
105,,channel1
106,,channel1
107,,channel1
108,"New Products And Scale Expected To Drive Med Tech This Year (MDT, EW, COV, SYK, BAX, NSPH)",channel1
109,,channel1
110,"Today's Top Five Picks (ZMH, PFG, MDT, RHI, DTE)",channel1
111,,channel1
112,,channel1
113,,channel1
114,,channel1
115,,channel1
116,,channel1
117,,channel1
118,"Market Round-up (BNI, DAL, GM, WR, MDT) Domestic Cardiac Cath Lab Survey (BSX, MDT)",channel1
119,,channel1
120,,channel1
121,,channel1
122,,channel1
123,,channel1
124,,channel1
125,,channel1
126,,channel1
127,,channel1
128,,channel1
129,,channel1
130,MDT To Face Increased Competition In Kyphoplasty Market,channel1
131,,channel1
132,,channel1
133,,channel1
134,,channel1
135,,channel1
136,,channel1
137,,channel1
